agent,workload,network,seen,condition,episode,seed,total_tasks_generated,num_completed,num_failed,completion_rate,avg_latency_ms,deadline_met_rate,total_energy_joules,final_time_ms,task_seed,duration_ms,truncated,num_decisions,episode_return,p95_latency_ms,late_completions,deadline_failures,sla_violations,rejections,fail_deadline_missed_while_running,raw_latency,raw_sla,raw_rejection,raw_balance,raw_energy,raw_utilization,w_latency,w_sla,w_rejection,w_balance,w_energy,w_utilization,fail_server_full_or_incompatible
Random,variable,normal,True,variable_normal,2,50002,81.0,44.0,37.0,0.5432098765432098,834.6087655380844,0.9772727272727273,2831.25885672714,24310.0,50002.0,10000.0,0.0,81.0,-170.4829328857156,1418.1237957882288,1.0,37.0,38.0,0.0,37.0,36.72278568367571,47.5,0.0,16.206413312241988,28.312588567271405,9.029016632491576,-18.361392841837855,-142.5,0.0,-4.861923993672596,-5.66251771345428,0.9029016632491579,0.0
Greedy,variable,normal,True,variable_normal,2,50002,81.0,47.0,34.0,0.5802469135802469,847.3989493416498,1.0,1544.5736952349234,11940.0,50002.0,10000.0,0.0,81.0,-158.66357956014247,1456.7978146437363,0.0,34.0,34.0,0.0,34.0,39.82775061905753,44.5,0.0,10.761722635500304,15.445736952349236,10.679599305061867,-19.913875309528766,-133.5,0.0,-3.228516790650091,-3.089147390469848,1.0679599305061864,0.0
PPO,variable,normal,True,variable_normal,2,50002,81.0,38.0,43.0,0.4691358024691358,728.7523289481157,1.0,3005.2363124464428,26300.0,50002.0,10000.0,0.0,81.0,-184.00024742812093,1124.6296623810829,0.0,43.0,43.0,0.0,43.0,27.692588500028393,52.5,0.0,24.924462075880474,30.05236312446442,8.338580695503328,-13.846294250014196,-157.5,0.0,-7.477338622764139,-6.010472624892886,0.8338580695503329,0.0
FIFO,variable,normal,True,variable_normal,3,50003,94.0,0.0,94.0,0.0,0.0,0.0,6578.791638014638,61430.0,50003.0,10000.0,0.0,94.0,-351.71112769952464,0.0,0.0,94.0,94.0,0.0,94.0,0.0,106.0,0.0,68.60224886866504,65.78791638014638,0.2713023710412641,0.0,-318.0,0.0,-20.580674660599538,-13.157583276029275,0.02713023710412641,0.0
RoundRobin,variable,normal,True,variable_normal,3,50003,94.0,37.0,57.0,0.39361702127659576,811.7605781685103,1.0,2416.569531515068,20950.0,50003.0,10000.0,0.0,94.0,-229.65443725232893,1572.0660510166701,0.0,57.0,57.0,0.0,57.0,30.03514139223488,68.5,0.0,17.342438500958004,24.16569531515068,8.990040571060064,-15.01757069611744,-205.5,0.0,-5.202731550287402,-4.833139063030135,0.8990040571060074,0.0
Random,variable,normal,True,variable_normal,3,50003,94.0,33.0,61.0,0.35106382978723405,801.8865607746507,1.0,3961.7444043610667,35510.0,50003.0,10000.0,0.0,94.0,-244.34112241529084,1376.5698814321786,0.0,61.0,61.0,0.0,61.0,26.462256505563474,72.5,0.0,21.61695115776734,39.61744404361067,7.9857999354327385,-13.231128252781737,-217.5,0.0,-6.485085347330203,-7.9234888087221345,0.7985799935432737,0.0
Greedy,variable,normal,True,variable_normal,3,50003,94.0,42.0,52.0,0.44680851063829785,899.3089042723824,0.9761904761904762,1526.8330051502148,12390.0,50003.0,10000.0,0.0,94.0,-208.48980090275887,1645.810533519675,1.0,52.0,53.0,0.0,52.0,37.77097397944006,62.0,0.0,4.770625261369922,15.26833005150215,8.805396756725633,-18.88548698972003,-186.0,0.0,-1.4311875784109773,-3.053666010300429,0.880539675672564,0.0
PPO,variable,normal,True,variable_normal,3,50003,94.0,39.0,55.0,0.4148936170212766,629.0400079064433,1.0,3208.2590222081726,28620.0,50003.0,10000.0,0.0,94.0,-241.90515692861396,908.9123564203355,0.0,55.0,55.0,0.0,55.0,24.532560308351286,71.5,0.0,31.459720712101003,32.08259022208173,7.155574836083398,-12.266280154175643,-214.5,0.0,-9.437916213630297,-6.416518044416346,0.7155574836083394,0.0
FIFO,variable,normal,True,variable_normal,4,50004,92.0,4.0,88.0,0.043478260869565216,1179.4703106707584,1.0,5712.16231034395,53030.0,50004.0,10000.0,0.0,92.0,-305.5302925843392,1572.1985988236338,0.0,88.0,88.0,0.0,88.0,4.717881242683034,91.0,0.0,63.19041915050963,57.12162310343949,2.100984028431387,-2.358940621341517,-273.0,0.0,-18.957125745152908,-11.424324620687898,0.21009840284313863,0.0
RoundRobin,variable,normal,True,variable_normal,4,50004,92.0,47.0,45.0,0.5108695652173914,790.7209917933138,1.0,2359.3584125813413,19780.0,50004.0,10000.0,0.0,92.0,-181.26278382617153,1384.087674339765,0.0,45.0,45.0,0.0,45.0,37.16388661428576,51.5,0.0,15.772422204405801,23.593584125813408,12.696029674557618,-18.58194330714288,-154.5,0.0,-4.731726661321743,-4.718716825162684,1.2696029674557616,0.0
Random,variable,normal,True,variable_normal,4,50004,92.0,39.0,53.0,0.42391304347826086,830.2946166047246,1.0,2308.63564058799,19630.0,50004.0,10000.0,0.0,92.0,-205.94009244102318,1367.0017916330423,0.0,53.0,53.0,0.0,53.0,32.381490047584265,60.5,0.0,15.529614335125398,23.0863564058799,10.268081644825624,-16.190745023792132,-181.5,0.0,-4.65888430053762,-4.61727128117598,1.0268081644825615,0.0
Greedy,variable,normal,True,variable_normal,4,50004,92.0,51.0,41.0,0.5543478260869565,869.7691211311551,1.0,1606.9581197500593,12450.0,50004.0,10000.0,0.0,92.0,-177.49570996764447,1679.2996888033783,0.0,41.0,41.0,0.0,41.0,44.35822517768891,50.5,0.0,6.184045071949021,16.069581197500586,12.525323822848383,-22.179112588844454,-151.5,0.0,-1.855213521584706,-3.2139162395001186,1.252532382284839,0.0
PPO,variable,normal,True,variable_normal,4,50004,92.0,47.0,45.0,0.5108695652173914,773.1136330110495,1.0,3294.1679374857185,28510.0,50004.0,10000.0,0.0,92.0,-192.0708891105732,1493.0534625702385,0.0,45.0,45.0,0.0,45.0,36.33634075151932,52.5,0.0,36.9333325038075,32.94167937485719,12.656168913001764,-18.16817037575966,-157.5,0.0,-11.079999751142251,-6.588335874971438,1.265616891300176,0.0
FIFO,variable,normal,True,variable_normal,5,50005,87.0,3.0,84.0,0.034482758620689655,941.1868142366187,1.0,5272.110094467868,48960.0,50005.0,10000.0,0.0,87.0,-291.1944233535686,1302.3314842150564,0.0,84.0,84.0,0.0,84.0,2.823560442709856,87.0,0.0,61.35022280457346,52.721100944678675,1.666438980941537,-1.411780221354928,-261.0,0.0,-18.40506684137205,-10.544220188935736,0.16664389809415364,0.0
RoundRobin,variable,normal,True,variable_normal,5,50005,87.0,41.0,46.0,0.47126436781609193,737.2829282481964,0.975609756097561,2440.6348417208133,20810.0,50005.0,10000.0,0.0,87.0,-181.2560991006522,1429.409905806382,1.0,46.0,47.0,0.0,46.0,30.22860005817605,52.5,0.0,16.223130559164243,24.40634841720814,11.06409779626819,-15.114300029088025,-157.5,0.0,-4.866939167749272,-4.8812696834416265,1.1064097796268195,0.0
Random,variable,normal,True,variable_normal,5,50005,87.0,39.0,48.0,0.4482758620689655,843.230302480947,0.9743589743589743,3079.120553998251,26480.0,50005.0,10000.0,0.0,87.0,-196.7118262219874,1430.5866787478737,1.0,48.0,49.0,0.0,48.0,32.88598179675693,56.5,0.0,19.668142026338476,30.791205539982506,12.898483922891225,-16.442990898378465,-169.5,0.0,-5.900442607901544,-6.158241107996503,1.2898483922891215,0.0
