scheduler,workload,network,task_seed,num_tasks,episode_return,return_per_task,on_time_rate,completion_rate,avg_latency_ms,energy_per_task_j
Greedy,heavy,congested,700000115,166,-613.4373071701641,-3.6954054648805066,0.012048192771084338,0.012048192771084338,630.8798315302577,44.497675073929045
ECT,heavy,congested,700000115,166,-633.5079299793257,-3.816312831200757,0.006024096385542169,0.006024096385542169,585.0744757980632,64.18238150131282
FIFO,heavy,congested,700000116,173,-714.4079716894169,-4.129525847915704,0.0,0.0,0.0,225.69481690682935
RoundRobin,heavy,congested,700000116,173,-635.3851570262816,-3.6727465724062522,0.011560693641618497,0.011560693641618497,1669.8464569270432,57.931775308128216
Random,heavy,congested,700000116,173,-623.8316295944383,-3.6059631768464637,0.028901734104046242,0.028901734104046242,1226.8159704679892,50.99381058079338
Greedy,heavy,congested,700000116,173,-605.6141110217471,-3.5006596012817752,0.017341040462427744,0.017341040462427744,1271.2769023732073,55.52135576759884
ECT,heavy,congested,700000116,173,-615.2781399724959,-3.556521040303444,0.023121387283236993,0.023121387283236993,1317.270107910043,60.96228456996124
FIFO,heavy,congested,700000117,179,-712.0988209611816,-3.9782057036937517,0.0,0.0,0.0,232.3394413407801
RoundRobin,heavy,congested,700000117,179,-634.4071383940923,-3.5441739575088955,0.0111731843575419,0.0111731843575419,1177.4080330437873,95.03202120756345
Random,heavy,congested,700000117,179,-641.3410430192811,-3.5829108548563187,0.00558659217877095,0.00558659217877095,2298.081813897622,92.73221024529352
Greedy,heavy,congested,700000117,179,-594.1562023452645,-3.3193083929903047,0.01675977653631285,0.01675977653631285,1480.9464726080514,45.985381160385906
ECT,heavy,congested,700000117,179,-620.1477279221391,-3.4645124464923973,0.0,0.0,0.0,73.71514609716796
FIFO,heavy,congested,700000118,179,-720.6816619192058,-4.026154535861485,0.0,0.0,0.0,230.92304293066348
RoundRobin,heavy,congested,700000118,179,-645.7234751160609,-3.6073937157321834,0.0335195530726257,0.0335195530726257,1845.070353834674,88.5355089403024
Random,heavy,congested,700000118,179,-641.0178573117533,-3.581105348110354,0.0223463687150838,0.0223463687150838,1476.6888708187385,71.70428952506984
Greedy,heavy,congested,700000118,179,-603.146872025377,-3.369535597907134,0.0111731843575419,0.0111731843575419,1016.0683838480799,44.02343546381767
ECT,heavy,congested,700000118,179,-621.4234340543956,-3.4716392963932714,0.01675977653631285,0.01675977653631285,1339.8681459992215,57.29504260957087
FIFO,heavy,congested,700000119,180,-754.618484387059,-4.192324913261439,0.0,0.0,0.0,217.29526831929695
